"lake","site","date","chla_mgm3_top","DRP_mgm3_bottom","DRP_mgm3_top","NH4_mgm3_bottom","NH4_mgm3_top","NNN_mgm3_bottom","NNN_mgm3_top","secchi_m","TN_mgm3_bottom","TN_mgm3_top","TP_mg_m3_bottom","TP_mgm3_top","turb_NTU_bottom","turb_NTU_top","pH_bottom","pH_top","chla_mgm3_bottom","datetime"
"Rotoehu","3",2011-08-16,9.4,0.8,1.8,3,3,0.5,0.7500001,4.1,247,295,13.6,26.3,1.7,2,NA,8.1,NA,2011-08-15 12:00:00
"Rotoehu","3",2011-09-21,9.9,0,0,8,9,4,2,2.8,251,265,15.5,17.5,2,1.9,7.9,7.8,NA,2011-09-20 12:00:00
"Rotoehu","3",2011-10-25,4.2,0,3.6,2,3,0.5,3,3.6,229,274,15.5,21.4,2,2.2,7.9,7.6,NA,2011-10-24 12:00:00
"Rotoehu","3",2011-11-14,4,0,0,19,11,5,5,4.1,318,278,29.2,13.6,1.7,1.6,7.6,7.3,NA,2011-11-13 12:00:00
"Rotoehu","3",2011-12-21,4.5,10.2,7.4,83,49,7,7,3.5,323,280,27.3,22.4,1.8,2,7.8,7.9,NA,2011-12-20 12:00:00
"Rotoehu","3",2012-01-17,3,0.8,0.8,60,8,6,12,3.7,273,215,13.6,11.6,1.7,1.3,7.4,7.6,NA,2012-01-16 12:00:00
"Rotoehu","3",2012-02-22,3.5,2.7,0,92,4,6,1,3.5,264,273,14.6,17.5,1.4,1.7,7.5,7.9,NA,2012-02-21 12:00:00
"Rotoehu","3",2012-03-28,5.8,0,0,1,1,3,3,2.3,264,279,19.4,20.4,2.5,2.8,8,8,NA,2012-03-27 12:00:00
"Rotoehu","3",2012-04-17,5.4,0.8,0,20,13,7,6,3,245,283,14.6,18.5,2,2,7.7,7.8,NA,2012-04-16 12:00:00
"Rotoehu","3",2012-05-15,12.8,0,0,1,2,0.5,0.5,2.8,240,240,17.5,16.5,2.4,2.3,8,7.8,NA,2012-05-14 12:00:00
"Rotoehu","3",2012-06-25,8.6,0,0,1,3,3,4,2.7,376,232,11.6,85.9,2.4,2.4,7.8,7.8,NA,2012-06-24 12:00:00
"Rotoehu","3",2012-07-18,10.2,0,0,3,3,1,1,2.8,193,198,11.6,12.6,1.9,2,7.8,7.7,NA,2012-07-17 12:00:00
"Rotoehu","3",2012-08-14,8.7,0,0,1,1,0.5,0.7500001,2.3,223,225,15.5,15.5,2.8,2.2,7.7,7.75,NA,2012-08-13 12:00:00
"Rotoehu","3",2012-09-18,6.4,0,0,1,1,3,2,1.9,227,265,17.5,23.4,3.1,3.2,8,8,NA,2012-09-17 12:00:00
"Rotoehu","3",2012-10-17,5.8,0,0,1,1,0.5,3,2.6,187,232,10.7,13.6,3.4,3.8,7.7,7.3,NA,2012-10-16 12:00:00
"Rotoehu","3",2012-11-13,2.34,0,0,2,1,0.5,0.5,3.8,192,173,9.7,7.7,2.2,1.5,7.7,7.9,NA,2012-11-12 12:00:00
"Rotoehu","3",2012-12-06,3.33,0,0,1,1,0.5,0.5,4.2,188,184,12.6,10.7,1.5,2.4,7.91,7.85,NA,2012-12-05 12:00:00
"Rotoehu","3",2013-01-15,2.8,0.8,0,1,1,2,1,4.3,216,232,18.5,14.6,1.7,1.5,7.8,8,NA,2013-01-14 12:00:00
"Rotoehu","3",2013-02-19,5.4,1.8,0,34,6,1,3,NA,266,232,19.4,15.5,1.2,1.5,7.8,7.8,NA,2013-02-18 12:00:00
"Rotoehu","3",2013-03-19,4.9,0,0,18,15,5,0.5,3.6,235,236,13.6,14.6,1.8,1.6,8,7.9,NA,2013-03-18 12:00:00
"Rotoehu","3",2013-04-22,6.7,0,0,1,1,5,4,3.5,192,206,9.7,10.7,1.8,2.2,8,7.9,NA,2013-04-21 12:00:00
"Rotoehu","3",2013-05-14,5.3,0,0,1,1,0.5,1,3.8,166,174,8.7,8.7,2.7,3.2,7.9,8.1,NA,2013-05-13 12:00:00
"Rotoehu","3",2013-06-17,3.7,0,0,6,48,10,53,4.2,162,286,5.8,6.7,2.3,1.9,7.7,7.7,NA,2013-06-16 12:00:00
